NAME,A,PER,R,MASS
Kepler-262 c,0.152976,21.853722,0.146311,0.0121773
WASP-117 b,0.0946483,10.02165,1.021,0.2755
WASP-75 b,0.0375112,2.484193,1.27,1.07
Kepler-1293 b,0.0650345,5.57654784,0.087,0.00266535
Kepler-222 b,0.0487958,3.936981,0.281916,0.0297967
Kepler-334 b,0.0607596,5.470319,0.0999197,0.00436179
Kepler-1638 b,0.787843,259.33683,0.167,0.0137822
Kepler-605 b,0.0427433,3.38353807,0.128,0.0101747
Kepler-327 c,0.0588339,5.212333,0.0918904,0.00324127
Kepler-793 b,0.0509367,4.24153639,0.122,0.00866602
Kepler-1555 b,0.0800056,8.10501635,0.144,0.0120099
Kepler-419 b,0.370106,69.7546,,2.5
Kepler-511 b,0.870478,296.637865,0.567,0.108498
Kepler-1361 b,0.0430059,3.57554956,0.077,0.00172655
Kepler-57 c,0.0942979,11.6092567,0.138158,0.0115953
Kepler-172 c,0.0673847,6.388996,0.255152,0.0245625
Kepler-1350 b,0.0436851,4.4968604,0.225,0.0199266
WASP-70 A b,0.0485382,3.7130203,1.164,0.590076
Kepler-933 b,0.109579,14.20443009,0.219,0.0191406
Kepler-1406 b,0.102102,11.62905828,0.098,0.00407386
Kepler-1530 b,0.035902,2.5904434,0.146,0.0121546
Kepler-400 c,0.131115,17.340824,0.132929,0.0115291
Kepler-220 e,0.250899,45.902733,0.118655,0.00789025
Kepler-1111 b,0.0860862,8.79617863,0.178,0.0147338
WASP-57 b,0.0386362,2.838971,0.916,0.675887
HAT-P-37 b,0.0379273,2.79736,1.178,1.17362
Kepler-198 c,0.264081,49.567416,0.220359,0.019315
Kepler-1166 b,0.195344,33.2406882,0.151,0.0125233
Kepler-458 c,0.146743,20.74028413,0.375,0.057999
Kepler-1605 b,0.361924,85.7565495,0.096,0.00378747
Kepler-1222 b,0.0284953,1.91694425,0.07,0.00123338
Kepler-1635 b,1.13739,469.63111,0.325,0.0409391
Kepler-615 b,0.0837217,10.35584657,0.155,0.0128259
Kepler-249 b,0.0434366,3.306539,0.0972433,0.00396389
WASP-106 b,0.089107,9.289715,1.085,1.925
Kepler-165 b,0.0794582,8.180848,0.206977,0.0176845
Kepler-28 b,0.0581375,5.91213,0.320884,0.0397121
Kepler-118 c,0.145024,20.17202,0.685164,0.184717
Kepler-1216 b,0.0521389,4.37034536,0.124,0.00915206
HAT-P-32 b,0.0342627,2.150008,1.789,0.861516
XO-3 b,0.0477112,3.1915426,1.217,13.2849
Kepler-1380 b,0.0914589,10.3108245,0.128,0.0101747
Kepler-478 b,0.103659,13.2217576,0.242,0.0223911
Kepler-122 e,0.221179,37.993273,0.231956,0.0208911
Kepler-634 b,0.0590906,5.16950177,0.169,0.0139495
Kepler-881 b,0.0539414,4.44448017,0.159,0.0131362
Kepler-103 c,0.64119,179.612,0.458519,0.0877632
Kepler-997 b,0.0406211,2.70730672,0.121,0.00842926
Kepler-1503 b,0.376527,96.16987,0.203,0.0172355
Kepler-400 b,0.0848304,9.024389,0.147203,0.0122424
Kepler-106 c,0.111348,13.5708,0.223015,0.0328478
Kepler-113 b,0.0502736,4.754,0.16237,0.013404
Kepler-1178 b,0.182381,31.80634,0.095,0.00364938
Kepler-595 b,0.161025,25.30292332,0.34,0.0457295
Kepler-1359 b,0.274559,59.4970952,0.252,0.0240196
Kepler-785 b,0.0282249,1.97376093,1.162,1
CoRoT-9 b,0.406991,95.2738,1.05,0.843564
Kepler-698 b,0.123396,16.32976218,0.328,0.0418568
Kepler-1022 b,0.0863273,10.99469878,0.211,0.0181548
K2-3 b,0.0769351,10.05403,0.195,0.0163773
Kepler-368 b,0.175473,26.84768,0.290838,0.0318107
Kepler-913 b,0.0794059,10.29672521,0.184,0.015288
Kepler-1224 b,0.116229,13.32351601,0.119,0.00796813
Kepler-335 b,0.0685981,6.562331,0.302436,0.0346488
WASP-16 b,0.0417858,3.1186009,1.008,0.842294
Kepler-316 b,0.0335097,2.240508,0.0945669,0.00359062
KIC 11442793 h,0.996347,331.60059,1.01,0.937417
Kepler-103 b,0.127704,15.9654,0.300624,0.0305195
Kepler-1426 b,0.115827,14.2563227,0.139,0.0116544
Kepler-993 b,0.127733,22.08557563,0.265,0.0263549
Kepler-338 b,0.112199,13.726976,0.217682,0.0189734
Kepler-1588 b,0.0762521,7.84931739,0.068,0.00111394
Kepler-985 b,0.451946,116.331901,0.266,0.0265453
Kepler-974 b,0.0409318,4.19449651,0.14,0.0117248
Kepler-1248 b,0.0796726,7.46725407,0.105,0.00518721
Kepler-129 b,0.123186,15.79186,0.211437,0.0182069
Kepler-1331 b,0.0149794,0.78916165,0.094,0.00351465
PH-1 b,0.629412,138.506,0.550851,0.100437
Kepler-306 d,0.131044,17.326644,0.220359,0.019315
Kepler-37 d,0.212021,39.792187,0.178,0.00577478
Kepler-856 b,0.0774029,8.02768059,0.83,0.564251
Kepler-1499 b,0.228998,44.2008,0.106,0.0053608
WASP-79 b,0.0534741,3.6623817,1.7,0.887514
Kepler-1470 b,0.116773,16.2950903,0.095,0.00364938
Kepler-107 b,0.0423212,3.179997,0.139174,0.0116666
Kepler-1040 b,0.667299,201.1214,0.186,0.0154788
Kepler-1542 c,0.0389169,2.89223021,0.058,0.000639382
Kepler-109 c,0.151991,21.2227,0.224819,0.0199023
Kepler-30 d,0.534239,143.343,0.784384,0.0726872
Kepler-1349 b,0.034023,2.12823928,0.062,0.000806332
Kepler-877 b,0.129482,18.45847097,0.189,0.0157709
Kepler-720 b,0.0540454,4.70832654,0.75,0.381266
Kepler-932 b,0.0288756,1.9214374,0.122,0.00866602
Kepler-1628 b,0.288651,76.378033,0.574,0.112141
Kepler-158 c,0.18282,28.551383,0.169507,0.0139923
Kepler-858 b,0.346809,76.13602028,0.434,0.0783692
Kepler-777 b,0.0522506,5.72812599,0.131,0.0109866
Kepler-970 b,0.113697,16.73652231,0.247,0.0231879
Kepler-1579 b,0.0159542,0.84990789,0.075,0.00157306
Kepler-191 d,0.0608391,5.94504102,0.203,0.0172355
